wallet,tx_count,total_fee,avg_fee,total_sent_sol,token_diversity,defi_activity_count,mint_count,tokens_minted,spl_tokens_sent,avg_tx_size,fee_ratio,defi_ratio,mint_ratio,cluster,pca1,pca2
36bF6ytSj7kWfKGKVR5tHdpLNGB7eaKFRJ9BVjWt43Dy,4,20000,5000.0,40000,0,1,0,0,0,10000.0,0.5,0.25,0.0,2,-0.0752440354941361,-1.420949637097915
417umeRFqPZXYcX15n6mFRCGVu3xK7Ec2f8W5CV8ujKp,1,31322,31322.0,0,1,1,0,0,5evN2e...:5935215988,0.0,31322.0,1.0,0.0,3,-0.170015741979195,1.3972615869808707
FLipG5QHjZe1H12f6rr5LCnrmqjhwuBTBp78GwzxnwkR,1288,6440000,5000.0,1288,0,1,0,0,0,1.0,5000.0,0.0007763975155279503,0.0,2,-0.09373570581903293,-7.8734922660987285
MtarjdmV3gc6cvGFdpqNBEmBywCNQT4Uvq3UpzicJfe,206,1030000,5000.0,206,0,1,0,0,0,1.0,5000.0,0.0048543689320388345,0.0,2,-0.07910558104368057,-2.9364288999706085
8E4b21iYwZdR8jTAcLw1yFg5kGLS3vadtX5ApveLAQxj,1,5000,5000.0,2094549,0,1,0,0,0,2094549.0,0.0023871487370312177,1.0,0.0,0,-0.07229748973398076,0.4196827397181352
FnUy9yMwJTTVj8rdHSBy84ZrnVt1RHWMhDbWqUaNtftF,2,10000,5000.0,370284171,0,1,0,0,0,185142085.5,2.70062853969526e-05,0.5,0.0,2,-0.05039423226802777,-0.8028485637891358
GkAa9EZZEZKbtMWoR73BMeTEtRAiew45QTmvWfq2H7Gm,1,5000,5000.0,0,0,1,0,0,0,0.0,5000.0,1.0,0.0,0,-0.07271886520688799,0.4212200145139265
6AzDDhQfLymt17No9uP5KwFWPdLDVP5mCTzvieSkTr6k,1,5000,5000.0,2034280,0,1,0,0,0,2034280.0,0.0024578720726743616,1.0,0.0,0,-0.07230271719407028,0.41968271180333977
CFKVJ1k4J8UKFZEcoS9Z5FdioRLwNFgardJuMsowThR5,1,5000,5000.0,0,0,1,0,0,0,0.0,5000.0,1.0,0.0,0,-0.07271886520688799,0.4212200145139265
CiBgDVED8z3EYmD2sGoKvqnwGwfxp6cALjBQypnomzSz,1,5000,5000.0,2034280,0,1,0,0,0,2034280.0,0.0024578720726743616,1.0,0.0,0,-0.07230271719407028,0.41968271180333977
