wallet,tx_count,total_sent_sol,avg_tx_value,median_tx_value,max_tx_value,avg_fee,total_fee,fee_ratio,avg_tx_interval,std_tx_interval,unique_destinations,dest_entropy,token_diversity,mint_count,mint_ratio,type_system_transfer,type_spl-token_transfer,type_system_createAccount,type_spl-token_closeAccount,type_spl-token_transferChecked,type_address-lookup-table_extendLookupTable,type_spl-associated-token-account_createIdempotent,type_spl-associated-token-account_create,type_unknown,type_system_advanceNonce,type_system_createAccountWithSeed,type_spl-token_burn,type_spl-token_approveChecked,type_address-lookup-table_createLookupTable,type_spl-token_approve
36bF6ytSj7kWfKGKVR5tHdpLNGB7eaKFRJ9BVjWt43Dy,4,4e-05,1e-05,1e-05,1e-05,5000.0,20000,5000.0,0.6666666666666666,0.4714045207910317,1,0.0,0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417umeRFqPZXYcX15n6mFRCGVu3xK7Ec2f8W5CV8ujKp,1,0.0,0.0,0.0,0.0,31322.0,31322,31322.0,0.0,0.0,1,0.0,1,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FLipG5QHjZe1H12f6rr5LCnrmqjhwuBTBp78GwzxnwkR,1288,1.288e-06,1e-09,1e-09,1e-09,5000.0,6440000,5000.0,47.432789432789434,1700.5893799699954,752,6.487446028026268,0,0,0.0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MtarjdmV3gc6cvGFdpqNBEmBywCNQT4Uvq3UpzicJfe,206,2.06e-07,1e-09,1e-09,1e-09,5000.0,1030000,5000.0,298.5317073170732,4252.204881742144,28,3.0908518638354674,0,0,0.0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8E4b21iYwZdR8jTAcLw1yFg5kGLS3vadtX5ApveLAQxj,1,0.002094549,0.002094549,0.002094549,0.002094549,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FnUy9yMwJTTVj8rdHSBy84ZrnVt1RHWMhDbWqUaNtftF,2,0.370284171,0.1851420855,0.1851420855,0.201248688,5000.0,10000,5000.0,61041.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
GkAa9EZZEZKbtMWoR73BMeTEtRAiew45QTmvWfq2H7Gm,1,0.0,0.0,0.0,0.0,5000.0,5000,5000.0,0.0,0.0,1,0.0,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6AzDDhQfLymt17No9uP5KwFWPdLDVP5mCTzvieSkTr6k,1,0.00203428,0.00203428,0.00203428,0.00203428,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFKVJ1k4J8UKFZEcoS9Z5FdioRLwNFgardJuMsowThR5,1,0.0,0.0,0.0,0.0,5000.0,5000,5000.0,0.0,0.0,1,0.0,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CiBgDVED8z3EYmD2sGoKvqnwGwfxp6cALjBQypnomzSz,1,0.00203428,0.00203428,0.00203428,0.00203428,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
