wallet,total_fee,token_diversity,defi_activity_count,mint_count,tokens_minted,spl_tokens_sent,avg_tx_value,max_tx_value,median_tx_value,avg_tx_interval,std_tx_interval,unique_destinations,dest_entropy,unique_tokens,spl_transfer_count,nft_transfer_count,mint_event_count,defi_program_count,fee_per_tx,activity_score,tx_count,avg_fee,total_sent_sol,avg_tx_size,fee_ratio,defi_ratio,mint_ratio,inv_avg_interval,cluster,behavior_label,pca1,pca2
1254XgfykRGHV8UiA9EnWz8qNkGsiGFu7bw6FhtbXNRj,8010000,0,1,0,0,0,0.003,0.004,0.003,0.0,0.0,2,0.6931471805599453,0,0,0,0,0,4005000.0,2.0,2,4005000.0,6000000.0,3000000.0,4005000.0,0.5,0.0,0.0,0,🟢 DeFi User,0.5905150381306272,2.007201863181305
126pRnFUDeY7yoNwVo3cnPnmJPSSRJLFFEua2z1SuHGT,5000,0,1,0,0,0,0.000275945,0.000275945,0.000275945,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,275945.0,275945.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32358400608227,-0.4461667177563739
12HH4iavPcvSGwMK2hA2YM6zM8inHmwZUUmfQ5r5jhyY,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
12r3YHoQMXkvCgm9siFwz9mW4qPCMLEADYcZrrYCcoap,40000,0,1,0,0,0,0.115288365,0.115288365,0.115288365,0.0,0.0,1,0.0,0,0,0,0,0,40000.0,1.0,1,40000.0,115288365.0,115288365.0,40000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32297143800525957,-0.43111166780485427
13DYPkp8Liz9gv4Mb34Hp4Y5MX9sw2UHAEQsuzX75Wk2,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
13FqmFJdEo1xWFc2kA9aoRSCKqDPeS5K9YGFQ4DaHKxp,31400,0,1,0,0,0,1e-06,1e-06,1e-06,0.0,0.0,1,0.0,0,0,0,0,0,31400.0,1.0,1,31400.0,1000.0,1000.0,31400.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32313738339623543,-0.4355280777709543
13Ns6dFjHE3bqD3bngtZzwbcT9UXL6iryvfQQrQyc5iL,36400,0,1,0,0,0,1e-06,1e-06,1e-06,0.0,0.0,1,0.0,0,0,0,0,0,36400.0,1.0,1,36400.0,1000.0,1000.0,36400.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.3230527865345268,-0.4335127547144538
13nTtWA9X67itY4Hhg5LgJRKdnYhpDvc4LB9T8pNjooc,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
13pWtQ8X83C9Mm9emtSoGTkaXGYHFjZSoq9VVo7mLt41,22000,1,1,0,0,Es9vMF...:1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0,0,0,22000.0,1.0,1,22000.0,0.0,0.0,22000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.33374886757828154,-0.5753566875076086
143uApMaoJcu9UtofbmH8WuZksK3HkaPqnu4dVZmGnSp,5000,0,1,0,0,0,0.00020281,0.00020281,0.00020281,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,202810.0,202810.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.3235840190480518,-0.44616732044359714
14USsz5RsGUrEhbpizqpKaQkoj5tMEwoGawdhAZcoV2N,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
